0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.283		0.276487		0.347219
0.284		0.276774		0.347648
0.285		0.277055		0.348069
0.286		0.27733		0.34848
0.287		0.277597		0.348881
0.288		0.277858		0.349274
0.289		0.278112		0.349658
0.29		0.278359		0.350033
0.291		0.2786		0.350399
0.292		0.278835		0.350756
0.293		0.279063		0.351105
0.294		0.279286		0.351445
0.295		0.279502		0.351777
0.296		0.279712		0.352101
0.297		0.279916		0.352416
0.298		0.280114		0.352723
0.299		0.280306		0.353023
0.3		0.280493		0.353314
0.301		0.280674		0.353598
0.302		0.280849		0.353874
0.303		0.281019		0.354142
0.304		0.281184		0.354403
0.305		0.281343		0.354656
0.306		0.281496		0.354902
0.307		0.281645		0.355141
0.308		0.281788		0.355373
0.309		0.281926		0.355597
0.31		0.28206		0.355815
0.311		0.282188		0.356025
0.312		0.282311		0.356229
0.313		0.28243		0.356426
0.314		0.282543		0.356616
0.315		0.282652		0.3568
0.316		0.282757		0.356977
0.317		0.282857		0.357148
0.318		0.282952		0.357313
0.319		0.283043		0.357471
0.32		0.283129		0.357623
0.321		0.283211		0.357769
0.322		0.283289		0.357909
0.323		0.283363		0.358043
0.324		0.283432		0.358171
0.325		0.283497		0.358294
0.326		0.283559		0.358411
0.327		0.283616		0.358522
0.328		0.283669		0.358627
0.329		0.283719		0.358727
0.33		0.283765		0.358821
0.331		0.283806		0.358911
0.332		0.283845		0.358995
0.333		0.283879		0.359073
0.334		0.28391		0.359147
0.335		0.283937		0.359215
0.336		0.283961		0.359278
0.337		0.283981		0.359337
0.338		0.283998		0.35939
0.339		0.284012		0.359439
0.34		0.284022		0.359483
0.341		0.284029		0.359522
0.342		0.284033		0.359557
0.343		0.284033		0.359587
0.344		0.284031		0.359613
0.345		0.284025		0.359634
0.346		0.284016		0.359651
0.347		0.284004		0.359663
0.348		0.28399		0.359671
0.349		0.283972		0.359675
0.35		0.283952		0.359675
0.351		0.283928		0.35967
0.352		0.283902		0.359662
0.353		0.283873		0.35965
0.354		0.283842		0.359633
0.355		0.283807		0.359613
0.356		0.283771		0.359589
0.357		0.283731		0.359561
