0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.346		0.345404		0.0234251
0.347		0.345931		0.0233666
0.348		0.346452		0.0233079
0.349		0.346967		0.0232491
0.35		0.347477		0.0231903
0.351		0.347981		0.0231313
0.352		0.348479		0.0230723
0.353		0.348973		0.0230132
0.354		0.34946		0.022954
0.355		0.349942		0.0228947
0.356		0.350419		0.0228354
0.357		0.35089		0.022776
0.358		0.351356		0.0227166
0.359		0.351816		0.0226571
0.36		0.352271		0.0225976
0.361		0.352721		0.022538
0.362		0.353165		0.0224784
0.363		0.353603		0.0224188
0.364		0.354037		0.0223591
0.365		0.354465		0.0222995
0.366		0.354887		0.0222398
0.367		0.355305		0.02218
0.368		0.355717		0.0221203
0.369		0.356124		0.0220606
0.37		0.356525		0.0220008
0.371		0.356921		0.0219411
0.372		0.357312		0.0218813
0.373		0.357698		0.0218216
0.374		0.358079		0.0217619
0.375		0.358454		0.0217022
0.376		0.358824		0.0216425
0.377		0.35919		0.0215828
0.378		0.35955		0.0215232
0.379		0.359904		0.0214636
0.38		0.360254		0.021404
0.381		0.360599		0.0213444
0.382		0.360938		0.0212849
0.383		0.361273		0.0212254
0.384		0.361603		0.021166
0.385		0.361927		0.0211066
0.386		0.362247		0.0210473
0.387		0.362561		0.020988
0.388		0.362871		0.0209288
0.389		0.363176		0.0208697
0.39		0.363475		0.0208106
0.391		0.36377		0.0207515
0.392		0.36406		0.0206926
0.393		0.364345		0.0206337
0.394		0.364626		0.0205748
0.395		0.364901		0.0205161
0.396		0.365172		0.0204574
0.397		0.365438		0.0203988
0.398		0.365699		0.0203403
0.399		0.365955		0.0202818
0.4		0.366207		0.0202235
0.401		0.366454		0.0201652
0.402		0.366696		0.0201071
0.403		0.366933		0.020049
0.404		0.367166		0.019991
0.405		0.367395		0.0199331
0.406		0.367618		0.0198753
0.407		0.367837		0.0198177
0.408		0.368052		0.0197601
0.409		0.368262		0.0197026
0.41		0.368467		0.0196452
0.411		0.368668		0.019588
0.412		0.368865		0.0195308
0.413		0.369057		0.0194737
0.414		0.369244		0.0194168
0.415		0.369427		0.01936
0.416		0.369606		0.0193033
0.417		0.36978		0.0192467
0.418		0.36995		0.0191903
0.419		0.370116		0.0191339
0.42		0.370277		0.0190777
0.421		0.370434		0.0190216
0.422		0.370586		0.0189656
0.423		0.370735		0.0189098
0.424		0.370879		0.0188541
0.425		0.371019		0.0187985
0.426		0.371154		0.018743
0.427		0.371286		0.0186877
0.428		0.371413		0.0186325
0.429		0.371537		0.0185774
0.43		0.371656		0.0185225
0.431		0.371771		0.0184677
0.432		0.371881		0.0184131
0.433		0.371988		0.0183586
0.434		0.372091		0.0183042
0.435		0.37219		0.01825
0.436		0.372285		0.0181959
0.437		0.372375		0.0181419
0.438		0.372462		0.0180881
0.439		0.372545		0.0180344
0.44		0.372624		0.0179809
0.441		0.372699		0.0179276
0.442		0.37277		0.0178743
0.443		0.372838		0.0178213
0.444		0.372901		0.0177683
