0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.628		0.290793		0
0.629		0.290245		0
0.63		0.289698		0
0.631		0.289152		0
0.632		0.288607		0
0.633		0.288063		0
0.634		0.28752		0
0.635		0.286979		0
0.636		0.286438		0
0.637		0.285898		0
0.638		0.28536		0
0.639		0.284822		0
0.64		0.284286		0
0.641		0.28375		0
0.642		0.283216		0
0.643		0.282683		0
0.644		0.282151		0
0.645		0.28162		0
0.646		0.281089		0
0.647		0.28056		0
0.648		0.280032		0
0.649		0.279506		0
0.65		0.27898		0
0.651		0.278455		0
0.652		0.277931		0
0.653		0.277409		0
0.654		0.276887		0
0.655		0.276366		0
0.656		0.275847		0
0.657		0.275328		0
0.658		0.274811		0
0.659		0.274295		0
0.66		0.273779		0
0.661		0.273265		0
0.662		0.272752		0
0.663		0.27224		0
0.664		0.271729		0
0.665		0.271219		0
0.666		0.27071		0
0.667		0.270202		0
0.668		0.269695		0
0.669		0.269189		0
0.67		0.268684		0
0.671		0.268181		0
0.672		0.267678		0
0.673		0.267176		0
0.674		0.266676		0
0.675		0.266176		0
0.676		0.265678		0
0.677		0.26518		0
0.678		0.264684		0
0.679		0.264189		0
0.68		0.263694		0
0.681		0.263201		0
0.682		0.262709		0
0.683		0.262218		0
0.684		0.261727		0
0.685		0.261238		0
0.686		0.26075		0
0.687		0.260263		0
0.688		0.259777		0
0.689		0.259292		0
0.69		0.258808		0
0.691		0.258325		0
0.692		0.257843		0
0.693		0.257363		0
0.694		0.256883		0
0.695		0.256404		0
0.696		0.255926		0
0.697		0.255449		0
0.698		0.254974		0
0.699		0.254499		0
0.7		0.254025		0
0.701		0.253552		0
0.702		0.253081		0
0.703		0.25261		0
0.704		0.25214		0
0.705		0.251672		0
0.706		0.251204		0
0.707		0.250738		0
0.708		0.250272		0
0.709		0.249807		0
0.71		0.249344		0
0.711		0.248881		0
0.712		0.24842		0
0.713		0.247959		0
0.714		0.2475		0
0.715		0.247041		0
0.716		0.246583		0
0.717		0.246127		0
0.718		0.245671		0
0.719		0.245217		0
0.72		0.244763		0
0.721		0.24431		0
0.722		0.243859		0
0.723		0.243408		0
0.724		0.242959		0
0.725		0.24251		0
0.726		0.242062		0
0.727		0.241616		0
0.728		0.24117		0
0.729		0.240725		0
0.73		0.240282		0
0.731		0.239839		0
0.732		0.239397		0
0.733		0.238956		0
0.734		0.238516		0
0.735		0.238078		0
0.736		0.23764		0
0.737		0.237203		0
0.738		0.236767		0
0.739		0.236332		0
0.74		0.235898		0
0.741		0.235465		0
0.742		0.235033		0
0.743		0.234601		0
0.744		0.234171		0
0.745		0.233742		0
0.746		0.233314		0
0.747		0.232886		0
0.748		0.23246		0
0.749		0.232034		0
0.75		0.23161		0
0.751		0.231186		0
0.752		0.230764		0
0.753		0.230342		0
0.754		0.229921		0
0.755		0.229502		0
0.756		0.229083		0
0.757		0.228665		0
0.758		0.228248		0
0.759		0.227832		0
0.76		0.227417		0
0.761		0.227003		0
0.762		0.226589		0
0.763		0.226177		0
0.764		0.225766		0
0.765		0.225355		0
0.766		0.224946		0
0.767		0.224537		0
0.768		0.224129		0
0.769		0.223722		0
0.77		0.223316		0
0.771		0.222911		0
0.772		0.222507		0
0.773		0.222104		0
0.774		0.221702		0
0.775		0.2213		0
0.776		0.2209		0
0.777		0.2205		0
0.778		0.220102		0
0.779		0.219704		0
0.78		0.219307		0
0.781		0.218911		0
0.782		0.218516		0
0.783		0.218122		0
0.784		0.217728		0
0.785		0.217336		0
0.786		0.216945		0
0.787		0.216554		0
0.788		0.216164		0
0.789		0.215775		0
0.79		0.215387		0
0.791		0.215		0
0.792		0.214614		0
0.793		0.214228		0
0.794		0.213844		0
0.795		0.21346		0
0.796		0.213077		0
0.797		0.212695		0
0.798		0.212314		0
0.799		0.211934		0
0.8		0.211555		0
0.801		0.211176		0
0.802		0.210799		0
0.803		0.210422		0
0.804		0.210046		0
0.805		0.209671		0
0.806		0.209297		0
0.807		0.208923		0
0.808		0.208551		0
0.809		0.208179		0
0.81		0.207808		0
0.811		0.207438		0
0.812		0.207069		0
0.813		0.206701		0
0.814		0.206333		0
0.815		0.205966		0
0.816		0.205601		0
0.817		0.205236		0
0.818		0.204871		0
0.819		0.204508		0
0.82		0.204145		0
0.821		0.203784		0
0.822		0.203423		0
0.823		0.203063		0
0.824		0.202704		0
0.825		0.202345		0
0.826		0.201987		0
0.827		0.201631		0
0.828		0.201275		0
0.829		0.200919		0
0.83		0.200565		0
0.831		0.200211		0
0.832		0.199859		0
0.833		0.199507		0
0.834		0.199155		0
0.835		0.198805		0
0.836		0.198455		0
0.837		0.198107		0
0.838		0.197759		0
0.839		0.197411		0
0.84		0.197065		0
0.841		0.196719		0
0.842		0.196374		0
0.843		0.19603		0
0.844		0.195687		0
0.845		0.195344		0
0.846		0.195003		0
0.847		0.194662		0
0.848		0.194321		0
0.849		0.193982		0
0.85		0.193643		0
0.851		0.193305		0
0.852		0.192968		0
0.853		0.192632		0
0.854		0.192296		0
0.855		0.191961		0
0.856		0.191627		0
0.857		0.191294		0
0.858		0.190961		0
0.859		0.19063		0
0.86		0.190298		0
0.861		0.189968		0
0.862		0.189639		0
0.863		0.18931		0
0.864		0.188982		0
0.865		0.188654		0
0.866		0.188328		0
0.867		0.188002		0
0.868		0.187677		0
0.869		0.187352		0
0.87		0.187029		0
0.871		0.186706		0
0.872		0.186384		0
0.873		0.186062		0
0.874		0.185741		0
0.875		0.185421		0
0.876		0.185102		0
0.877		0.184784		0
0.878		0.184466		0
0.879		0.184149		0
0.88		0.183832		0
0.881		0.183517		0
0.882		0.183202		0
0.883		0.182887		0
0.884		0.182574		0
0.885		0.182261		0
0.886		0.181949		0
0.887		0.181637		0
0.888		0.181327		0
0.889		0.181017		0
0.89		0.180707		0
0.891		0.180399		0
0.892		0.180091		0
0.893		0.179783		0
0.894		0.179477		0
0.895		0.179171		0
0.896		0.178866		0
0.897		0.178561		0
0.898		0.178258		0
0.899		0.177955		0
0.9		0.177652		0
0.901		0.17735		0
0.902		0.177049		0
0.903		0.176749		0
0.904		0.176449		0
0.905		0.17615		0
0.906		0.175852		0
0.907		0.175554		0
0.908		0.175257		0
0.909		0.174961		0
0.91		0.174665		0
0.911		0.17437		0
0.912		0.174076		0
0.913		0.173782		0
0.914		0.173489		0
0.915		0.173197		0
0.916		0.172905		0
0.917		0.172614		0
0.918		0.172324		0
0.919		0.172034		0
0.92		0.171745		0
0.921		0.171456		0
0.922		0.171168		0
0.923		0.170881		0
0.924		0.170595		0
0.925		0.170309		0
0.926		0.170024		0
0.927		0.169739		0
0.928		0.169455		0
0.929		0.169172		0
0.93		0.168889		0
0.931		0.168607		0
0.932		0.168326		0
0.933		0.168045		0
0.934		0.167765		0
0.935		0.167485		0
0.936		0.167206		0
0.937		0.166928		0
0.938		0.16665		0
0.939		0.166373		0
0.94		0.166097		0
0.941		0.165821		0
0.942		0.165546		0
0.943		0.165271		0
0.944		0.164997		0
0.945		0.164724		0
0.946		0.164451		0
0.947		0.164179		0
0.948		0.163908		0
0.949		0.163637		0
0.95		0.163366		0
0.951		0.163097		0
0.952		0.162828		0
0.953		0.162559		0
0.954		0.162291		0
0.955		0.162024		0
0.956		0.161757		0
0.957		0.161491		0
0.958		0.161226		0
0.959		0.160961		0
0.96		0.160696		0
0.961		0.160432		0
0.962		0.160169		0
0.963		0.159907		0
0.964		0.159645		0
0.965		0.159383		0
0.966		0.159122		0
0.967		0.158862		0
0.968		0.158602		0
0.969		0.158343		0
0.97		0.158085		0
0.971		0.157827		0
0.972		0.157569		0
0.973		0.157312		0
0.974		0.157056		0
0.975		0.1568		0
0.976		0.156545		0
0.977		0.156291		0
0.978		0.156037		0
0.979		0.155783		0
0.98		0.15553		0
0.981		0.155278		0
0.982		0.155026		0
0.983		0.154775		0
0.984		0.154524		0
0.985		0.154274		0
0.986		0.154025		0
